Themes + Assets;Rank;Year;Consensus Thesis;Tesis Ex Post
ESG;12;2021;In 2021, ESG investing is set to underpin a broad economic recovery, supported by a projected 60% expansion in the global green bond market and accelerated climate commitments from major economies including the U.S. rejoining the Paris Agreement and China targeting net zero by 2060. Equities with strong ESG credentials, particularly in clean energy, technology, and healthcare, are expected to outperform, benefiting from policy support and structural shifts toward sustainability. Investors should consider increasing exposure to ESG-aligned cyclicals and growth sectors, targeting a portfolio allocation shift of 10-20% toward sustainable assets. Key risks include persistent COVID-19 disruptions and political uncertainties in Europe, which could delay green initiatives. A balanced approach combining long-duration growth and cyclical ESG themes offers actionable opportunities amid evolving market dynamics.;Inflation was the primary risk that materialized, surprising to the upside (7% vs 2% projected) and causing significant market volatility. Vaccine rollouts were successful in developed markets but uneven globally. The US Senate outcome (Democratic sweep in Georgia) led to larger fiscal stimulus, fueling both growth and inflation. Bond yields edged higher (10Y at 1.51%) but stayed below 2% as projected. Investment-grade credit remained resilient, but high-yield spreads tightened to historic lows.
REGULATION;13;2021;The 2020s are set to feature heightened regulatory and political scrutiny, particularly on large technology providers, which are expected to sustain superior growth despite increased oversight. Investors should anticipate secular returns in the range of 3-5%, characterized by volatility clustered across asset classes. Key risks include potential tax and regulatory changes following political developments, inflation and interest rate volatility, and ongoing pandemic-related uncertainties. A balanced portfolio allocation of approximately 25% each in bonds, stocks, cash, and gold is advisable to navigate this environment. While regulatory pressures may temper growth, the investment case for technology and diversified exposure remains intact amid evolving policy landscapes.;"Traditional hedges had a mixed year. Core bonds (10Y Treasury) lost value as yields rose to 1.51%. Gold failed as a tail-risk hedge, falling 3.6% despite high inflation. However, commodities were excellent hedges, with energy surging 59%. The projected 5-10% dollar depreciation did not occur; instead, the dollar's 6.4% gain made currency hedging a headwind for US-based investors in international assets. Inflation surpassing 3% (reaching 7%) was the defining macro event."
EUROPE;14;2021;The euro area is set for a gradual recovery with GDP growth projected at 3.9% in 2021 and 2.7% in 2022, reflecting an incomplete rebound with lingering scars. Inflation is expected to remain subdued, around 1.0% in 2021, while ECB policy will stay highly accommodative, including continued asset purchases and potential yield-curve control, keeping 10-year Bund yields near zero to 0.05%. Peripheral spreads, particularly in Italy and Spain, offer selective value with further tightening anticipated. Equity markets may benefit from cyclical recovery and valuation support, targeting returns of 15-25% through 2021, though risks from political uncertainty and uneven vaccine rollout persist. Investors should favor peripheral bonds and cyclicals while monitoring geopolitical and fiscal developments.;The US yield curve steepened dramatically in Q1 (10Y reaching 1.75%) but flattened in the second half as the Fed signaled earlier rate hikes. The 10Y yield ended at 1.51%, above the 1.25% forecast. European Bund yields ended at -0.18%, higher than the -0.4% projection but still negative. Fiscal expansion and inflation risk premiums were priced in early, but central bank hawkishness capped the long end later in the year.
JAPAN;15;2021;Japanese equities are positioned for a cyclical recovery in 2021, supported by a rebound in global trade and capital spending. Consensus forecasts see the TOPIX rising to around 2,100 by year-end, implying total returns near 16%, while 10-year yields are expected to modestly increase to approximately -0.1%. The market’s heavy weighting in industrials and consumer discretionary sectors underpins this outlook. However, risks include a stronger yen potentially pressuring exporters and ongoing demographic headwinds. With the Bank of Japan maintaining accommodative policy and fiscal support expanding, investors may consider overweighting Japan within developed market cyclicals, balancing exposure against uncertainties in currency and global growth trajectories.;The rotation to cyclicals and value was a major theme, especially in H1. S&P 500 Energy was the top performer (+48%), followed by Real Estate (+42%) and Financials (+33%). Small caps (Russell 2000) gained ~14.5%, underperforming large caps (+28.7%), contrary to the 3-5% outperformance projection. Earnings growth in cyclicals was robust, often exceeding 50% from pandemic lows, supported by the global reopening and surging commodity prices.
ROTATION;16;2021;The 2021 market backdrop supports a continued rotation from growth and mega-cap tech into cyclical, value, and small-cap equities, with expected mid-single digit gains (3-7%) in U.S. equities and stronger performance in Europe and emerging markets. Commodities, high yield credit, and commercial real estate are favored over investment grade and housing sectors. Investors should tactically exploit bouts of volatility and disorderly rotation, as valuations remain stretched and mean reversion may take time. Key risks include slower vaccine rollout, persistent low inflation, and potential Fed policy shifts. A balanced approach emphasizing cyclical exposure, selective credit, and EM currencies versus the dollar offers actionable opportunities amid ongoing uncertainty.;The rotation theme was successful but tech remained resilient. US equities (S&P 500) gained 28.7%, far exceeding the 3-7% projection. Commodities were indeed favored, with energy prices rising 59%. Value outperformed growth in the first half, but mega-cap tech staged a strong comeback in H2. High yield credit performed well as spreads compressed, while housing sectors remained strong despite rising rates, contrary to the cautious projection.
DOLLAR;17;2021;The U.S. dollar is expected to weaken by approximately 5-10% against major currencies in 2021, driven by sustained Fed accommodation, rising fiscal deficits near 10% of GDP, and a recovering global economy. Emerging market currencies, particularly the CNY, GBP, and NOK, are poised to outperform, supported by improving trade dynamics and capital inflows. Gold and commodities should benefit from a weaker dollar and accommodative policies, with gold targets around $2,000-$2,300. However, near-term volatility remains a risk, as safe-haven demand could intermittently bolster the dollar amid pandemic uncertainties or policy shifts. Investors should consider diversifying across G-10 and select EM currencies while monitoring inflation and Fed policy for potential inflection points.;"Technology sectors remained resilient with the Nasdaq 100 returning ~27%. The shift to Asia/Japan tech was mixed; while Taiwan and some Japan tech performed well, China tech (Hang Seng Tech) crashed ~33% due to regulatory crackdowns. The equity weight increase was justified by the 28.7% S&P 500 return. Geopolitical tensions and regulatory changes in China were the primary risks that hit the tech sector in Asia, leading to significant regional dispersion."
STEEPENING;18;2021;The consensus view anticipates a modest steepening of global yield curves in 2021, driven by improving growth and inflation prospects alongside continued monetary accommodation. The U.S. 10-year yield is expected to rise to around 1.25%, while European 10-year Bund yields may gradually normalize from deeply negative levels, reaching approximately -0.4%. Short-term rates are likely to remain anchored near zero as central banks maintain accommodative policies. The steepening reflects higher long-end yields pricing in inflation risk premiums and fiscal expansion, with 5y5y rates under upward pressure. Key risks include inflation surprises that could accelerate tightening or prolonged subdued growth that caps yield increases. Investors should consider duration positioning and diversify across regions, including selective exposure to EM local bonds and peripheral European debt.;"The Democratic sweep of the Georgia Senate seats in January enabled the $1.9 trillion American Rescue Plan, fueling growth and inflation. This did not trigger the feared headwinds for financials and energy; instead, they were top performers. The US dollar strengthened 6.4% instead of weakening 5-10%. Geopolitical rivalry with China remained a key focus, particularly in tech and trade. Political fragmentation in Europe was managed, with the 'NextGenEU' fund supporting the recovery."
EARNINGS;19;2021;Consensus among 17 institutions projects a robust earnings recovery in 2021, driven by vaccine rollouts and economic normalization. S&P 500 EPS estimates range from $168 to $178, implying 10-30% earnings growth and supporting index targets between 3,800 and 4,110. Cyclical sectors, including U.S. mid-caps and industrials, are expected to outperform defensives, with technology and healthcare maintaining a positive bias due to strong margins and resilient earnings. Valuation multiples may face modest contraction, but this is likely offset by profit growth. Key risks include vaccine distribution delays, policy uncertainty, and potential market volatility. Investors should consider overweighting cyclicals and selectively positioned growth sectors while monitoring economic indicators and earnings revisions.;The UK economy saw a strong rebound with GDP growth of 7.5% in 2021, the fastest in the G7, exceeding the 4-6% H2 projection. The vaccine rollout was exceptionally fast, supporting an early reopening. However, Brexit-related trade frictions and labor shortages became evident, contributing to supply chain disruptions. The economy did not fully return to 2019 levels until early 2022, consistent with the 'lingering scars' and 'structural headwinds' narrative.
COVID;20;2021;In 2021, the global economy is expected to transition from pandemic-induced distortions toward normalized growth, with the U.S. economy projected to expand around 4.5%. The shift from goods to services and virtual to in-person activity will drive sectoral rebalancing, creating opportunities as valuations mean revert across affected industries. Monetary and fiscal support will remain accommodative throughout the year, while the first Fed rate hike is unlikely before the second half of 2024. Key risks include renewed Covid restrictions that could dampen growth and delay value sector outperformance, which may take longer to materialize despite vaccine progress. Investors should position for selective cyclical exposure while monitoring pandemic developments and policy responses closely.;The transition to normalized growth occurred but was uneven. The US economy expanded 5.7%, exceeding the 4.5% projection. The shift from goods to services began but was hampered by the Delta and Omicron waves. Monetary and fiscal support remained highly accommodative for most of the year. The first Fed rate hike, projected for 2024, was pulled forward to March 2022 in market expectations by the end of 2021 due to the inflation surge.
QUANTITATIVE EASING;21;2021;Extended Low Rates Support Assets;The base case anticipates major central banks, excluding the PBOC, maintaining policy rates near 0-0.25% through at least 2023, supported by ongoing quantitative easing programs targeting bond market stability. This accommodative stance should underpin cyclical asset classes, with equity markets potentially gaining 5-10% annually as liquidity remains abundant. However, risks include inflationary pressures exceeding 3%, which could prompt earlier tightening, and geopolitical uncertainties that may disrupt policy continuity. Investors should consider positioning for a low-rate environment while monitoring inflation metrics and central bank communications closely, balancing exposure to growth-sensitive sectors with defensive assets to navigate potential volatility.
BONDS;22;2021;Growth Downgrades Temper Bond Trades;The base case anticipates U.S. growth downgrades of approximately 0.5-1.0% in 2021 due to renewed COVID restrictions, which are expected to temper pro-cyclical bond trades, particularly breakeven inflation and nominal rate payer positions. European and energy markets have priced in some of this downside, with inflation breakevens adjusting by 10-15 basis points, but U.S. markets remain less reflective of these risks. Investors should consider a cautious stance on long breakeven inflation exposure, targeting a 5-10% allocation to inflation-linked bonds while maintaining flexibility for nominal bonds near 1.5-2.0% yields. Key risks include faster-than-expected vaccine rollouts or fiscal stimulus, which could reignite growth and inflation expectations, warranting tactical adjustments.
LIQUIDITY;23;2021;In 2021, liquidity and funding risks that sharply impacted markets in March 2020 are expected to moderate significantly. The base case assumes that central bank support and improved market functioning will reduce the probability of severe liquidity shocks to below 20%, even if economic conditions worsen. Funding spreads are projected to remain within a manageable range of 50-75 basis points, reflecting resilient credit markets and ample system liquidity. However, risks persist from potential policy shifts or unexpected volatility spikes that could tighten conditions temporarily. Investors should maintain diversified portfolios with a focus on liquid assets and monitor funding cost trends closely to navigate evolving liquidity dynamics effectively.;
TECH;24;2021;In 2021, we see a strategic shift in equity allocations favoring Asia ex-Japan and Japan equities within the technology and cyclical sectors. The base case increases equity weight to 62%, up from 49%, by reducing corporate bond exposure, with Japan equities raised to a maximum 10% portfolio weight. Asia ex-Japan, particularly Korea and Japan, is expected to outperform due to stronger growth profiles and lower valuations, while Greater China may deliver more in-line returns. This rotation reflects a resilient technology cycle alongside shifting growth momentum toward cyclicals. Key risks include geopolitical tensions in Asia and potential regulatory changes affecting tech sectors. Investors should diversify regionally and tactically overweight Asia and Japan equities to capture upside while managing volatility.;
ASIA;25;2021;In 2021, Asia ex-Japan is positioned to outperform global peers, supported by a stronger growth profile and relatively lower valuations, with expected returns in the 8-12% range. Cyclical sectors, particularly in Korea and Japan, are projected to benefit from shifting growth momentum and a resilient technology cycle, potentially delivering upside of 10-15%. Greater China markets are anticipated to perform in line with global averages, with returns around 6-8%. Key risks include geopolitical tensions, COVID-19 resurgence, and supply chain disruptions, which could dampen growth momentum. Investors should consider overweighting cyclical exposures in Korea and Japan while maintaining diversified exposure to Asia to balance growth opportunities and risks.;
BASE CASE;1;2022;In 2022, the global economy is expected to grow moderately above trend, with forecasts clustering around 4.2% to 4.5%, supported by ongoing recovery and easing pandemic disruptions. Inflation is likely to remain elevated, settling above pre-pandemic levels, with central banks beginning gradual policy normalization, including rate hikes in several developed markets. Market volatility may increase as monetary accommodation unwinds, but earnings growth is projected to remain positive, albeit at a slower pace. Key risks include persistent supply chain bottlenecks, potential Covid-19 variants, and uneven regional recoveries, particularly in China and Europe. Investors should focus on diversified portfolios emphasizing quality equities, real assets, and defensive sectors to navigate this evolving environment.;Reality diverged dramatically from consensus. Global growth came in at 3.24% (below the 4.2-4.5% projection), while inflation surged far beyond expectations, with US CPI peaking at 9.1% in June 2022 (a 40-year high) rather than moderating. The unanticipated Russia-Ukraine war (February 24) dominated the year, triggering an energy crisis and supply disruptions. Central banks responded with the most aggressive tightening in decades - the Fed hiked 7 times (425bps total) versus the anticipated 3 hikes. Market volatility was extreme, with the S&P 500 falling -18.1% and bonds experiencing their worst year in history (-13%). The 60/40 portfolio suffered its worst performance ever as stocks and bonds declined simultaneously.
GROWTH;2;2022;The global economy is expected to deliver above-trend growth in 2022, with forecasts clustering around 4.2% to 4.8%, supported by ongoing recovery in developed markets and a gradual easing of supply constraints. Inflation is projected to remain elevated, averaging between 3.5% and 4.5%, before moderating in the latter half of the year. Central banks are anticipated to begin tightening monetary policy cautiously, with 2-4 rate hikes priced in across major economies, balancing growth and inflation risks. Key uncertainties include the trajectory of China’s growth, potential Covid-19 variants, and inflation persistence. Investors should maintain a diversified stance, favoring cyclical equities, credit, and real assets, while preparing for volatility amid policy normalization.;Global growth significantly underperformed expectations at 3.24% versus the projected 4.2-4.8%. The Russia-Ukraine war (February 24) was a major unanticipated shock that disrupted global supply chains and energy markets. Inflation did not moderate as expected - US CPI peaked at 9.1% in June and remained elevated around 6.5% by year-end, far above the 3.5-4.5% projection. Central banks tightened much more aggressively than anticipated, with the Fed hiking 425bps (not the projected 2-4 hikes). China's economy grew only 2.7-3.0% (versus 5% expected) due to strict zero-COVID lockdowns. Europe faced a severe energy crisis as Russia weaponized gas supplies. The anticipated easing of supply constraints did not materialize.
MONETARY POLICY;3;2022;In 2022, central banks will transition from emergency stimulus to gradual policy normalization, with the Federal Reserve expected to raise rates three times, pushing the 10-year U.S. Treasury yield toward 2%. Inflation is projected to remain elevated early in the year, around 4%, before moderating toward 2-3% by mid-year. Economic growth should slow from 5.6% in 2021 to approximately 4.2-4.5%, supporting continued but more measured risk asset returns. Key risks include potential policy missteps leading to sharper tightening, persistent supply chain disruptions, and inflation surprises that could pressure earnings and bond markets. Investors should emphasize relative value across regions, favor select value equities, and maintain flexible duration positioning to navigate volatility and divergent central bank paths.;Monetary policy was far more aggressive than consensus anticipated. The Fed raised rates 7 times in 2022 (not 3), delivering 425bps of tightening from 0-0.25% to 4.25-4.50% - the most aggressive hiking cycle since the 1980s. The 10-year Treasury yield surged above 4% in October (highest since 2008), far exceeding the 2% target. Inflation peaked at 9.1% in June and remained elevated at 6.5% by year-end, not moderating to 2-3% by mid-year as projected. Economic growth slowed to 3.24% globally (below the 4.2-4.5% forecast). The Russia-Ukraine war created additional inflationary pressures through energy and commodity shocks. Risk assets suffered severely - the S&P 500 fell -18.1% and bonds lost -13% (worst year ever).
INFLATION;4;2022;Inflation is expected to remain elevated in early 2022, with headline CPI peaking above 4-5%, before gradually moderating to a range of 2.5%-3.5% by year-end as supply chain bottlenecks ease and base effects fade. Global growth should slow to around 4%-4.5%, supporting a transition to more normalized monetary policy with 2-3 Fed rate hikes anticipated. Key risks include persistent labor market tightness, energy price volatility, and potential Covid-19 disruptions, which could prolong inflation pressures or prompt more aggressive tightening. Investors should favor diversified portfolios with exposure to real assets, inflation-linked bonds, and selective equities in value and cyclical sectors to navigate volatility and capture income amid rising rates.;Inflation far exceeded consensus expectations. US CPI peaked at 9.1% in June 2022 (a 40-year high), not the projected 4-5%, and remained elevated at 6.5% by year-end rather than moderating to 2.5-3.5%. The Russia-Ukraine war triggered massive energy and commodity price spikes, with Brent crude reaching $120+ and European natural gas surging 10x. Supply chain bottlenecks persisted longer than expected, exacerbated by China's zero-COVID lockdowns. Labor market tightness and wage pressures proved more persistent. The Fed responded with 7 rate hikes (425bps total), far more aggressive than the 2-3 hikes anticipated. Real assets and inflation-linked bonds provided some protection, but the simultaneous decline in stocks (-18%) and bonds (-13%) challenged traditional diversification strategies.
POLITICS;5;2022;In 2022, political developments will shape market dynamics with notable events including the U.S. midterm elections, French and Italian presidential contests, and China's 20th National Party Congress. We expect U.S. equity returns to grow around 7%-8%, supported by earnings growth, particularly strengthening in the latter half of the year post-midterms. European markets face elevated political uncertainty, with French election risks potentially widening BTP/Bund spreads to 150 basis points. Geopolitical tensions, especially U.S.-China competition and energy security concerns, remain key downside risks. Investors should monitor inflationary pressures and policy shifts, favoring real assets and inflation-protected bonds, while remaining cautious of volatility from geopolitical flareups and supply chain disruptions.;Political developments in 2022 were dominated by the completely unanticipated Russia-Ukraine war (February 24), which overshadowed the expected electoral events. The US midterm elections occurred as scheduled, with Republicans gaining a narrow House majority. French elections saw Macron re-elected but with a weakened mandate. Italy elected a right-wing government under Meloni. China's 20th Party Congress confirmed Xi Jinping's third term. However, the UK experienced unprecedented political turmoil with three Prime Ministers (Johnson, Truss, Sunak), including the disastrous Truss mini-budget that crashed the gilt market. US equity returns were -18.1% (not the projected 7-8%), driven by inflation and Fed tightening rather than political factors. European political risks escalated dramatically due to the energy crisis and inflation.
VOLATILITY;6;2022;In 2022, markets face elevated volatility driven by central banks' gradual withdrawal of accommodation and persistent inflation pressures. We expect U.S. 10-year Treasury yields to rise toward 1.5%-2.0%, with rate volatility remaining above the five-year average. Equities are likely to deliver positive but more subdued returns around 10%, supported by solid earnings growth despite margin pressures and valuation uncertainties. The U.S. dollar is expected to remain strong against the euro and yen, with currency volatility elevated. Key risks include a more hawkish Fed stance, geopolitical tensions, and potential Covid-19 disruptions. Investors should emphasize diversification, favor quality defensives, real assets, and hedge fund strategies to navigate increased market swings and asymmetric outcomes.;Market volatility was extreme throughout 2022, driven by multiple shocks. The VIX averaged in the mid-20s with spikes above 30 during crisis periods. The Russia-Ukraine war (February 24) triggered initial volatility, followed by persistent swings as inflation data surprised higher and the Fed tightened aggressively. The 10-year Treasury yield surged above 4% (not the projected 1.5-2.0%), creating massive volatility in rate-sensitive assets. Equity returns were deeply negative at -18.1% (not the projected +10%), with the S&P 500 experiencing a -25% drawdown. Bond volatility reached historic levels as the Bloomberg Aggregate fell -13%. Currency volatility spiked with the dollar surging 8% and major currencies hitting multi-decade lows. The anticipated diversification benefits failed as stocks and bonds declined together.
RISKS;7;2022;In 2022, the global economy is expected to grow around 4.3%, down from 5.6% in 2021, amid persistent inflation pressures averaging near 4-5%. Central banks face a delicate balance, with terminal policy rates potentially rising above current market pricing, increasing the risk of tighter financial conditions and volatility. Key uncertainties include geopolitical tensions—especially U.S.-China competition and European political elections—and supply chain disruptions that may prolong elevated inflation. Investors should adopt a cautious, diversified approach, favoring quality credit and defensive equity sectors while preparing for potential market corrections of 10% or more. Tactical asset allocation and active risk management will be essential to navigate these evolving headwinds.;The major risks that materialized far exceeded consensus expectations, with the Russia-Ukraine war being completely unanticipated. Global growth came in at 3.24% (below the 4.3% projection), but inflation surged to 9.1% peak (far above the 4-5% expectation). The market correction was severe: the S&P 500 fell -18.1% with a -25% peak drawdown, exceeding the 10% correction probability. Geopolitical tensions dominated with the Ukraine war, energy weaponization, and nuclear threats. Central bank policy was far more aggressive than expected (Fed hiked 425bps vs projected gradual tightening). The simultaneous decline in stocks and bonds created unprecedented portfolio losses. Terminal rate expectations rose sharply above market pricing, tightening financial conditions dramatically.
YIELDS;8;2022;The consensus anticipates a moderate increase in government bond yields in 2022, with the U.S. 10-year Treasury yield expected to rise to approximately 2.0%-2.25%, while European yields remain lower but trend upward, such as the Bund near 0% and the UK gilt around 1.15%-1.3%. Central banks are likely to continue tapering asset purchases and gradually normalize policy rates, supporting a flattening yield curve amid persistent inflation risks. Investors should maintain a short-duration stance, favor inflation-linked bonds, and seek yield in credit sectors like high yield, senior loans, and emerging-market debt. Key risks include potential hawkish Fed surprises pushing yields higher and growth concerns triggering volatility, underscoring the need for diversified, flexible fixed income allocations.;Government bond yields surged far beyond consensus projections. The US 10-year Treasury yield peaked above 4% in October 2022 (highest since 2008) and closed the year near 3.88%, significantly exceeding the 2.0-2.25% forecast. The Fed's aggressive 425bps of rate hikes (7 increases versus 3 expected) drove yields higher as inflation peaked at 9.1% in June. European yields also rose sharply as the ECB was forced to tighten despite the energy crisis. 2022 became the worst year in history for US bonds, with the Bloomberg Aggregate Bond Index losing -13%. The yield curve inverted deeply, signaling recession concerns. Short-duration positioning helped but couldn't avoid losses. Credit spreads widened as growth fears mounted.
VALUATIONS;9;2022;In 2022, equity markets face a backdrop of elevated valuations with expected total returns in the 5-11% range, supported by earnings growth of approximately 8% globally. Real yields are projected to remain low but may rise modestly, pressuring high-multiple growth stocks and favoring quality and value sectors, particularly in Europe and select emerging markets like China and Japan. Investors should anticipate increased volatility as central banks gradually tighten policy amid inflationary pressures and supply chain challenges. Key risks include sharper-than-expected rate hikes, inflation persistence, and geopolitical uncertainties. Active management with a focus on stock selection, earnings resilience, and regional diversification remains essential to navigate this environment.;Equity valuations compressed sharply as interest rates surged. The S&P 500 fell -18.1% (not the projected 5-11% gain), closing around 3,839 (far below the ~5,100 target). Earnings growth disappointed as inflation squeezed margins and demand weakened. The forward P/E multiple contracted from ~21x to ~17x as the 10-year Treasury yield surged above 4% (versus 2% projection). Real yields turned positive for the first time in years, pressuring high-multiple growth stocks particularly hard - mega-cap tech fell 30-40%. Value significantly outperformed growth. European and emerging market equities also declined sharply. The anticipated earnings growth of 8% globally did not materialize as recession fears mounted and profit margins compressed.
EUROPE;10;2022;The consensus base case for Europe in 2022 anticipates above-trend GDP growth around 4.0% to 4.6%, supported by fiscal stimulus including the Next Generation EU Fund and easing supply chain constraints. European equities are favored for their attractive valuations and cyclicality, with expected earnings growth near 7% to 10%, particularly in Germany, the U.K., and peripheral markets like Italy. Inflation and energy price volatility remain key risks, alongside Covid-19 uncertainties and delayed ECB tightening, which may keep the euro under pressure in the $1.15 to $1.18 range. Investors should consider overweighting European cyclicals and financials while managing duration risk in fixed income, favoring inflation-linked bonds and senior loans amid rising yields.;Europe faced a severe crisis that far exceeded consensus risks. The Russia-Ukraine war (February 24) triggered an unprecedented energy crisis as Russia weaponized gas supplies, causing prices to surge 10x. GDP growth fell far short of the 4.0-4.6% projection as the continent faced recession risks. The euro fell to parity with the dollar for the first time in 20 years (not the projected $1.15-1.18 range). The ECB was forced to hike rates despite weak growth, ending negative rates. Inflation surged above 10% in many countries. European equities declined sharply, underperforming US markets. The energy crisis forced industrial production cuts and raised concerns about deindustrialization. Fiscal support expanded dramatically to cushion energy price impacts.
ESG;11;2022;The ESG transition will remain a central investment theme in 2022, with green bond issuance expected to rise by approximately 60% and base metals like copper benefiting from renewable energy demand. Developed-market equities, supported by low real rates and climate integration, are favored, while Europe gains from the Next Generation EU Fund. Inflation is likely to stay elevated but transitory, with CO2 pricing contributing to longer-term inflationary pressures. Key risks include policy uncertainty around carbon pricing and potential volatility from inflation sensitivity. Investors should adopt a balanced approach, emphasizing sustainable equities, real assets linked to infrastructure and green energy, and selective exposure to commodities, while monitoring inflation and regulatory developments closely.;ESG investing faced significant challenges in 2022. The Russia-Ukraine war and energy crisis led to a reassessment of energy transition timelines as countries prioritized energy security. Fossil fuel investments, previously shunned by ESG mandates, delivered the best returns (+59% for energy sector). European countries restarted coal plants and extended nuclear facilities. ESG funds generally underperformed due to their growth stock bias and underweight to energy. Regulatory scrutiny increased around greenwashing. Social factors gained prominence with inflation eroding living standards and labor activism rising. Governance issues emerged with crypto collapses (FTX) and corporate scandals. The ESG narrative shifted from pure exclusion toward transition finance and energy security considerations.
HEDGING;12;2022;In 2022, portfolios should prioritize inflation hedges amid expected headline inflation moderating to around 3% and real rates remaining low. Inflation-linked bonds, particularly U.S. TIPS, are favored for their ability to provide a 2-3% real yield and act as a ballast against rising rates. Real assets including global real estate, infrastructure, and commodities are expected to deliver returns in the 3-7% range, offering diversification and inflation protection. Gold remains a tactical option, with upside linked to geopolitical risks but limited upside otherwise. Credit exposure should be cautious given tight spreads, while hedge funds with low beta and macro strategies can provide non-correlated returns. Key risks include inflation surprises, central bank policy shifts, and geopolitical tensions that could disrupt correlations and asset performance.;Inflation hedges provided mixed results in 2022's challenging environment. US TIPS delivered negative returns (-11.8%) despite high inflation, as real yields surged from deeply negative to positive territory. Commodities performed well overall, with energy particularly strong (Brent averaged well above $73-85 projection, peaking at $120+). However, the Bloomberg Commodity Index was volatile. Real estate and infrastructure struggled as rates surged, with REITs falling -25%. Gold disappointed, declining -0.3% despite geopolitical tensions, as the strong dollar and rising real yields weighed on the metal. The anticipated 3% headline inflation moderation did not occur - inflation peaked at 9.1% and remained elevated. Traditional 60/40 portfolios suffered their worst year ever as both stocks (-18%) and bonds (-13%) declined simultaneously.
US;13;2022;The U.S. economy is expected to deliver above-trend growth of approximately 4% in 2022, supported by strong consumer spending and resilient corporate earnings growth of 7-8%. Inflation is projected to remain elevated, averaging around 4% for the year before moderating toward the Fed’s 2% target by mid-2022. Equity markets are anticipated to generate mid- to high-single-digit returns, with a preference for cyclical and value sectors alongside quality large- and mid-cap stocks. The dollar may weaken in the latter half of the year as global growth rebalances. Key risks include persistent supply chain disruptions, uncertain Fed tightening pace, and geopolitical tensions, warranting a balanced approach favoring selective equity overweight and cautious duration underweight.;The US economy significantly underperformed consensus expectations. Growth slowed sharply from 5.9% in 2021, falling well short of the 4% projection. Inflation surged to 9.1% in June (not moderating to 2% by mid-year as expected), forcing the Fed to hike rates 7 times (425bps total). The S&P 500 fell -18.1% (not the projected mid-to-high single-digit gains), entering a bear market with a -25% drawdown. Corporate earnings growth disappointed as margins compressed from inflation and higher rates. The dollar strengthened dramatically throughout the year (gaining ~8%), contrary to the expected H2 weakening. Cyclical and value sectors outperformed, but all major sectors declined except energy (+59%). Consumer spending weakened as real wages fell and savings depleted.
DOLLAR;14;2022;The U.S. dollar is expected to remain supported in early 2022, underpinned by the Federal Reserve's anticipated three rate hikes and a 10-year Treasury yield near 2%. Relative policy normalization should keep the dollar firm against the euro, yen, and Swiss franc, with potential gains of 3-5% versus these currencies. However, as global growth recovers and China shows signs of stabilization, the dollar may peak mid-year and gradually weaken over the following 12-18 months. Key risks include persistent inflation above 4%, Fed policy shifts, and geopolitical uncertainties impacting safe-haven demand. Investors should position for dollar strength in the first half, transitioning to selective exposure in the second half as cyclical currencies and emerging markets benefit.;The US dollar surged throughout 2022, contrary to the consensus expectation of peaking mid-year and weakening in H2. The DXY index rose approximately 8% for the year, reaching 20-year highs above 114 in September. The dollar strengthened against all major currencies: the euro fell to parity, the yen hit 150 (32-year low), and the pound dropped to $1.03 (all-time low). The Fed's aggressive 425bps of rate hikes (far exceeding other central banks initially) and safe-haven flows from the Russia-Ukraine war drove dollar strength. The anticipated global growth rebalancing and China stabilization did not materialize, keeping the dollar bid. Emerging market currencies suffered significant losses.
CHINA;15;2022;In 2022, China’s economy is expected to slow to around 5% growth, down from approximately 8% in 2021, reflecting structural headwinds and regulatory pressures, particularly in real estate and technology sectors. Policy easing is anticipated in the second half of the year, with a 60% probability of above-trend growth recovery, supporting selective opportunities in Chinese government bonds and credit markets. Key risks include a potential policy misstep impacting the property sector, geopolitical tensions especially around Taiwan, and Covid-related disruptions. Investors should maintain a cautious but constructive stance, favoring Chinese fixed income and selectively adding to credit exposure while awaiting clearer signals for equity market reacceleration.;China's economy severely underperformed expectations, growing only 2.7-3.0% (the lowest in decades excluding the pandemic) versus the projected 5%. The strict zero-COVID policy caused devastating lockdowns in major cities including Shanghai, paralyzing economic activity. The anticipated H2 policy easing and recovery did not materialize as COVID restrictions persisted through most of the year. The property sector crisis deepened with major developers like Evergrande and Country Garden facing defaults. Regulatory pressures on tech continued. Geopolitical tensions escalated around Taiwan. Chinese equities declined sharply, with the CSI 300 falling over -20%. The zero-COVID policy was only abandoned in December 2022, too late to support growth for the year.
